format	download_at	full_price	name	publisher	release_date	pages	dimensions	ISBN-10	ISBN-13	customers_review	about	height	width	depth
CAPA COMUM	2024-04-15T17:26:58.258575	17.9	Tex 631: Por trás da máscara	MYTHOS	2022-05-30	116	13.5 x 0.6 x 17.6 cm	6559513033	978-6559513031	13.0	Por trás da máscaraAlguns índios da tribo Ute que vivem às margens do grande Lago Salgado, no Utah, juram que vários companheiros foram mortos pelo Siats, uma criatura monstruosa, saída das lendas dos índios.Chegando ao local, Tex e Carson, mesmo duvidando da versão dos índios, começam a investigar… e acabam descobrindo um indivíduo de proporções colossais. Um personagem de poucas falas, mas que transpira um ódio mortal pelos índios utes, fazendo-se passar por um espírito maligno e sendo assim considerado até mesmo por seus seguidores.Mas para Tex e Carson não interessa sua origem: eles querem é pôr um fim em seu reinado de terror. Leia mais	17.6	13.5	0.6
CAPA COMUM	2024-04-15T17:27:02.002609	32.9	Zagor Classic - volume 13: O pequeno povo	MYTHOS	2022-05-30	100	16 x 0.7 x 21 cm	6559513246	978-6559513246	3.0	O pequeno povoAo norte de Darkwood, algumas tribos estão agitadas e o comandante do forte Henry pede para Zagor investigar. O Espírito da Machadinha parte, acompanhado de Chico e de Kirk, um caçador forte e de grande estatura, e descobre que a agitação se deve a uma ação de vingança iniciada por uma tribo de pigmeus chamada de Pequeno Povo. Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:27:05.940137	33.9	Júlia Especial vol. 03: Um caso real	MYTHOS	2022-05-23	116	16 x 0.7 x 21 cm	6559513157	978-6559513154	9.0	Um caso realUma nova aventura de Júlia na época em que era estudante universitária. Entre os colegas de faculdade da futura criminologista, há um particularmente misterioso e intrigante: Alex. Júlia começa a passar muito tempo com ele, visitando exposições de arte e se deixando levar em longas e agradáveis conversas.Mas, no dia em que é convidada para visitar a casa do colega, Júlia descobre a insuspeitada origem nobre de Alex, príncipe da Curlândia! Nem bem ela consegue se recuperar da surpresa, os dois são sequestrados e presos em um subterrâneo escuro! Como fará a jovem e arguta estudante de criminologia para salvar a si mesma e ao seu namorado? Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:27:09.556696	30.9	Dylan Dog Nova Série - volume 23: Depois de um longo silêncio	MYTHOS	2022-05-23	100	16 x 0.7 x 21 cm	6559513084	978-6559513086	3.0	Depois de um longo  silêncioDylan Dog é um homem que não pode mais beber, porque foi alcoólatra… mas, quando conhece Crystal, aos poucos ele tem uma recaída. Owen Travers é um homem que bebe desde que sua amada esposa partiu.O Investigador do Pesadelo é contratado por Owen porque o fantasma da esposa morta continua presente na casa. Uma história que afunda a lâmina no coração de trevas dos seres humanos. Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:27:13.199333	17.9	Tex Coleção 508: Acima da lei	MYTHOS	2022-05-23	116	13.5 x 0.5 x 17.6 cm	6559513076	978-6559513079	1.0	Acima da leiEm São Francisco atua uma associação de justiceiros que comete homicídios por encomenda, mas essa atividade terrível é justificada pelos assassinos com ambíguas motivações éticas.Tom Devlin, chefe da polícia de Frisco, chama Tex Willer e Kit Carson para que o ajudem a desmascarar a sinistra organização criminosa.Desde as primeiras investigações, os dois pards se veem às voltas com vários cadáveres e o mistério parece não ter fim. Leia mais	17.6	13.5	0.5
CAPA COMUM	2024-04-15T17:27:16.785513	35.24	Júlia Nova Série 7: O que aconteceu com Jenny?	MYTHOS	2022-05-23	132	16 x 0.7 x 21 cm	655951305X	978-6559513055	4.0	Nova fase de Júlia, em formato italiano e papel offset.Um rapaz aparece na porta de Júlia para lhe pedir ajuda para resolver um intrigante mistério. Contumaz jogador de videogames, anos antes, Duane conhece Jenny.Depois de terem vivido algumas aventuras juntos, na pele virtual de seus respectivos avatares, um dia após se encontrarem pessoalmente, a garota perde a vida em um acidente.Como é possível que agora ela apareça numa fotografia recente? O que realmente aconteceu com Jenny Preston? E de quem era o corpo pelo qual Duane chorou no enterro da garota? Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-08T21:55:48.437990	34.9	Crônicas das Guerras de Lodoss: Livro 01	NEWPOP	2021-06-7	304	20.8 x 15 x 2.2 cm	8583622876	978-8583622871	4.7	"""Lodoss, a ilha amaldiçoada”. Passados os 30 anos após a guerra contra os demônios, Lodoss recuperava a paz. Enquanto as feridas da guerra ainda se curavam, surge um prenúncio de uma nova guerra. Preocupado com o futuro de Lodoss, o jovem Parn parte para uma viagem de auto treinamento. Junto a elfa Deedlit, o mago Slayn e outros companheiros, Parn enfrentará grandes desafios. O grupo descobre a existência de uma maga que controla a guerra, mas isso era somente o início de um grande destino. Após 30 anos de sua estreia, a grande obra do gênero de fantasia ressurge nesta nova edição. Leia mais"	20.8	15.0	2.2
CAPA COMUM	2024-04-15T17:27:20.065441	30.9	Martin Mystère - Volume 28: As crianças dos olhos brancos	MYTHOS	2022-05-9	100	16 x 0.7 x 21 cm	655951269X	978-6559512690	1.0	As crianças dos olhos brancosA morte inexplicável de três crianças de Nova York, seguida de uma ressurreição impossível, dá início a esta aventura em que Martin tem que ir até a ilha de Bali para descobrir o que aconteceu com Diana, mysteriosamente desaparecida do seu apartamento. Na ilha indonésia, o Detetive do Impossível acabará envolvido no confronto titânico entre o Bem e o Mal, encarnados nas divindades indianas Rama e Ravana. Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:27:27.893649	30.9	Dylan Dog - volume 28: Caça às bruxas	MYTHOS	2022-05-6	100	16 x 0.6 x 21 cm	6559513130	978-6559513130	4.0	"Caça às bruxasTempos difíceis para os quadrinhos, caro Dylan! Corruptores da infância, malignos sedutores da inocência, causa de toda decadência moral. ""Temos que acabar com eles"", gritam os conformistas, novos inquisidores do século 20. E, para Justin Moss, inofensivo desenhista, as coisas acabam mal.Que jogo de poder está sendo praticado nos bastidores dessa comédia? Que monstros antigos querem retornar da idade das trevas para dominar o presente... e o futuro? Leia mais"	21.0	16.0	0.6
CAPA COMUM	2024-04-15T17:27:31.583079	35.9	Júlia Nova Série 6: O refugiado	MYTHOS	2022-05-6	132	16 x 0.7 x 21 cm	6559512924	978-6559512928	5.0	O refugiadoAleksander é um jovem refugiado político que veio da Ucrânia e foi acolhido por uma família de Garden City. Ele tem um passado turbulento, ligado a uma pequena gangue juvenil. Um passado violento, que ele gostaria de enterrar para sempre, mas seus velhos amigos não são da mesma opinião.Em um parque da cidade é encontrado o corpo de uma mulher assassinada: a investigação levará Júlia ao Centro de Solidariedade, um local que abriga refugiados sem condições de se manter, sem-teto e necessitados vários. Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:27:35.359196	30.9	Martin Mystère - Volume 29: A grande ilusão	MYTHOS	2022-05-6	100	16 x 0.7 x 21 cm	6559512983	978-6559512980	2.0	A grande ilusãoOs yahis são uma tribo de nativos americanos. O último representante desse povo, considerado completamente extinto, foi encontrado em 1911 e faleceu em 1919. Nos dias atuais os yahis se recuperaram mysteriosamente aos milhares.Eles são tranquilos e só pedem ajuda, compreensão e proteção, mas seu reaparecimento desencadeia uma verdadeira onda de fanatismo em toda a população dos Estados Unidos. Um fanatismo do qual Martin e Java não compartilham e que acham, no mínimo, suspeito. Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:27:38.952020	67.9	Zagor Nova Série 7: O fantasma Incendiário	MYTHOS	2022-05-6	284	16 x 1.6 x 21 cm	6559512746	978-6559512744	1.0	Cinco anos atrás a mina de carvão de Keating foi devastada por um terrível desastre que causou dezenas de mortes. Hoje, os fantasmas dos mineiros parecem assombrar o local do massacre indicando que a tragédia não foi natural, mas causada pela mão do homem.O único fato concreto é uma série de assassinatos misteriosos que semeia a morte entre os antigos diretores da mina. E quem é esse assassino serial é uma pergunta que apenas Zagor pode responder. Leia mais	21.0	16.0	1.6
CAPA COMUM	2024-04-15T17:27:42.772522	36.25	Tex edição histórica Nº 119: Trilhos de sangue	MYTHOS	2022-05-2	268	13.5 x 1.15 x 17.6 cm	6559512843	978-6559512843	4.0	Trilhos de sangueDuas companhias ferroviárias, a Western Pacific e a South & West, estão disputando para ver quem vai construir um trecho de ferrovia que irá do Arizona até São Francisco, na Califórnia.Os desonestos proprietários da Western Pacific contratam o patife Rob Brent para sabotar seus rivais da South & West, que já estão bem adiantados nos trabalhos. Depois de sofrer vários ataques aos trens e aos canteiros de obras, o inspetor geral da South & West, pede ajuda ao Exército e a Tex e Carson para tentarem investigar e deter os responsáveis elos ataques.Brent e seus asseclas têm o apoio do comerciante Simon, um contrabandista, e Tex e Carson contam com a ajuda dos apaches do chefe Cochise, que inclusive permite que seu filho Tazay acompanhe os dois justiceiros. Leia mais	17.6	13.5	1.15
CAPA COMUM	2024-04-15T17:27:46.352486	17.9	Tex Coleção 507: Vendetta Navajo	MYTHOS	2022-05-2	116	13.5 x 0.5 x 17.6 cm	6559512991	978-6559512997	3.0	"Vendetta NavajoUma história completa.Vendetta Navajo é a história que, na Itália, festejou os cinquenta anos de vida editorial de Tex, em 1998: uma pequena joia texiana com início e fim dentro da mesma edição, com enredo conciso, que recorda as antigas aventuras escritas por Gianluigi Bonelli. Sobre ela, seu autor, Claudio Nizzi, escreveu: ""É uma história em que procurei encaixar muita coisa em 110 páginas.Um jovem navajo é acusado de ter assassinado um juiz e a filha deste, com quem havia iniciado uma delicada história de amor. Tex impediu o linchamento do jovem e, com firmeza, segurou as rédeas da investigação, até descobrir os verdadeiros assassinos. Os desenhos de Ticci valem sozinhos o preço da revista"". Leia mais"	17.6	13.5	0.5
CAPA COMUM	2024-04-15T17:27:50.057604	67.9	Zagor Nova Série - Volume 8: Sangue Kiowa / A filha do mutante	MYTHOS	2022-05-2	324	16 x 2 x 21 cm	6559513122	978-6559513123	4.0	Sangue KiowaWinter Snake tenta matar o senador Jebediah Blake, quando este visita Darkwood por conta do Departamento de Assuntos Indígenas, e acaba na prisão do Forte Summer… mas consegue fugir, com a intenção de seguir o senador até Washington, se necessário, para levar a cabo uma vingança pessoal e misteriosa.Haveria algo no passado que liga o velho senador ao altivo chefe dos kiowas?A filha do mutanteSophie Randall, filha de Skull, o mutante, escapou do manicômio de Worcester, despertada pela voztelepática de seu pai, cuja cabeça com dois cérebros, separada do corpo após sua morte, havia sido entregue a cientistas e mantida em um recipiente especial para ser estudada. Determinada a encontrar o recipiente, Sophie tenta localizar Zagor, convencida de que o herói sabe onde ele está. Junto com o professor Barryman, o psiquiatra que estava tratando da mulher, o Espírito da Machadinha tentará deter a assassina! Leia mais	21.0	16.0	2.0
CAPA COMUM	2024-04-15T17:27:53.452758	149.9	Conan Omnibus vol. 3: Deuses e Feiticeiros ancestrais	MYTHOS	2022-04-30	456	26 x 1.5 x 17 cm	6559512967	978-6559512966	102.0	Apresentando o trabalho de favoritos dos fãs Timothy Truman e Tomás Giorello, esse omnibus recheado de ação inclui adaptações de Robert E.Howard “A mão de Nergal” e “O Colosso Negro”, mais histórias detalhando o retorno de Conan à sua terra natal, a Ciméria. Também inclui obras do mestre do horror Richard Corben! Leia mais	26.0	17.0	1.5
CAPA COMUM	2024-04-08T21:55:51.693943	26.9	Uma Vida Imortal (To Your Eternity) - Volume 01	NEWPOP	2021-06-7	192	17.2 x 11.4 x 1.4 cm	6586799279	978-6586799279	4.9	Um ser imortal é enviado para a superfície da Terra sem qualquer conhecimento ou sequer um “eu”. Além de sua imortalidade, ele tem a capacidade de tomar a “vontade” e a forma aqueles que morreram à sua volta. E com esses poderes e experiências, esse ser passa a entender e explorar o mundo, procurando sua razão de existir e a verdade por trás de tudo. Fumetsu no Anata E / To Your Eternity Leia mais	17.2	11.4	1.4
CAPA COMUM	2024-04-15T17:27:56.749285	149.9	Conan Omnibus vol. 4: Mercenários e loucura	MYTHOS	2022-04-30	460	26 x 1.6 x 17 cm	6559512975	978-6559512973	86.0	A série Conan Omnibus continua com mais histórias aclamadas de fantasia sombria cheias de sangue quente e aço frio, incluindo a adaptação de “Sombras de Ferro ao Luar” e o retorno há muito esperado a Conan, o Bárbaro do escriba de quadrinhos Roy Thomas, em “Estrada dos Reis''. Leia mais	26.0	17.0	1.6
CAPA DURA	2024-04-15T17:28:03.895058	89.9	Dylan Dog Graphic Novel - Volume 5: Lágrimas de pedra	MYTHOS	2022-04-28	108	19.6 x 0.5 x 27.6 cm	6559513149	978-6559513147	9.0	Lágrimas de pedraDylan vai ao hospital visitar o convalescente Bloch, que passou por procedimentos complicados. Para surpresa do Investigador do Pesadelo, ele encontra o ex-inspetor da Scotland Yard apaixonado por Crispina, uma belíssima garota portuguesa cega, que conheceu há pouco.Mas por que os rastros da garota logo se cruzam com os de um criminoso que foi libertado há poucos dias? Que mistério se esconde no passado da jovem? E que relação ela tem com a Beata Crispina, uma santa também portuguesa, cuja estátua está em um pedestal no pátio da capela do hospital? Leia mais	27.6	19.6	0.5
CAPA COMUM	2024-04-15T17:28:07.599735	17.9	Tex Nº 630: O monstro do lago salgado	MYTHOS	2022-04-28	116	13.5 x 0.5 x 17.6 cm	6559513017	978-6559513017	28.0	O monstro do lago salgadoAlguns índios da tribo ute que vivem às margens do grande Lago Salgado, no Utah, juram que vários companheiros foram mortos pelo Siats, uma criatura monstruosa, saída das lendas dos índios.Chegando ao local, Tex e Carson, duvidando da versão dos índios, começam a investigar… e acabam descobrindo fatos muito difíceis de explicar. Leia mais	17.6	13.5	0.5
CAPA COMUM	2024-04-15T17:28:11.050254	19.9	Tex Willer Nº 39: El cangrejo	MYTHOS	2022-04-28	68	15 x 0.4 x 21 cm	6559512932	978-6559512935	15.0	El cangrejoNa fortaleza penitenciária conhecida como El Infierno, todos querem Tex Willer morto. Só um velho prisioneiro chamado Duarte e o gringo chamado Hutch torcem por ele no perverso jogo sangrento montado como espetáculo pelo diabólico diretor Jorge Santacruz.A liberdade é uma miragem distante, mas a última chance para obtê-la pode ser achar e matar um comancheiro mítico que se refugia nas Badlands ao norte do Texas.Porém, do outro lado da fronteira, no rastro do Cangrejo, também estão os rangers Kit Carson, Arkansas Joe, Dan Bannion e Ben Dragoo. Leia mais	21.0	15.0	0.4
CAPA COMUM	2024-04-15T17:28:14.533933	35.9	Júlia Nova Série Vol. 5: Arquivo morto	MYTHOS	2022-04-7	132	16 x 0.75 x 21 cm	6559512797	978-6559512799	5.0	Nova fase de Júlia, em formato italiano e papel offset.Uma senhora se apresenta na casa de Júlia com um bilhete que lhe havia sido deixado pelo pai, muitos anos antes, em seu leito de morte. Endereçado à polícia local, a folha é uma espécie de carta anônima, jamais enviada, que poderia reabrir um caso de décadas atrás. Com a ajuda de Leo Baxter, Júlia começa a explorar o passado, mergulhando em documentos e fotos da época. Naquela montanha de papéis, pode se ocultar uma verdade insuspeitável. Leia mais	21.0	16.0	0.75
CAPA COMUM	2024-04-15T17:28:18.194990	139.9	Universo Hellboy Omnibus: As histórias secretas	MYTHOS	2022-04-7	424	17 x 1.8 x 26 cm	6559512959	978-6559512959	40.0	Explorando os cantos mais distantes do universo Hellboy!Quando Rasputin sentiu o chamado para buscar o Rag Narok? Como o Visitante se escondeu na Terra por tanto tempo? E de onde realmente veio a lendária armadura Marreta? Essas e outras questões são respondidas nesta nova coleção do universo de Hellboy! Três histórias de personagens secundários que são explorados em sua totalidade, inéditas no Brasil e completas nesta edição.O criador de Hellboy, Mike Mignola, se junta a John Arcudi, Chris Roberson, Laurence Campbell, Christopher Mitten, Dave Stewart e outros para trazer luz à essas histórias escondidas do Mignolaverso. Leia mais	26.0	17.0	1.8
CAPA COMUM	2024-04-15T17:28:21.941211	139.9	BPDP - Praga dos sapos Vol. 3: Deuses e feiticeiros	MYTHOS	2022-04-7	452	17 x 1.9 x 26 cm	6559512940	978-6559512942	26.0	O clímax da praga dos sapos se aproximaApós o encontro catastrófico do BPDP com o Monstro-Deus Katha-Hem, Kate segue para a França com a esperança de trazer Roger de volta à vida, e Daimio revela a verdade quanto à sua morte nas selvas da Bolívia.O iminente apocalipse dos sapos começa a se desenrolar quando Abe encontra uma sociedade vitoriana de ciborgues ligada à sua origem, e as visões de Liz começam a ficar cada vez piores! Leia mais	26.0	17.0	1.9
CAPA COMUM	2024-04-15T17:28:25.369798	30.9	Dragonero - Volume 14: O olhar da besta: 13	MYTHOS	2022-04-7	100	16 x 0.7 x 21 cm	6559512878	978-6559512874	15.0	O olhar da bestaIan fica cara a cara com um dragão que acabou de nascer, mas que já é extremamente perigoso! Só que a criatura precisa de ajuda para poder retornar ao remoto Continente Perdido, também chamado de Continente Oculto, onde vivem seus semelhantes. Assim, o dragão se vê forçado a formar uma aliança inusitada, justamente com aquele que é conhecido como Matador de Dragões.A viagem que farão juntos não será nada fácil: no rastro deles estão os temíveis bestiários, os caçadores de monstros, que não têm nenhuma intenção de deixar escapar uma presa tão rara, e farão de tudo para conseguir o cobiçado troféu! Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:28:28.895310	17.9	Tex Coleção Nº 506: O despertar da múmia	MYTHOS	2022-04-7	116	13.5 x 0.5 x 17.6 cm	6559512827	978-6559512829	1.0	O despertar da múmiaA múmia do faraó Akran foi reencontrada em Durango, México, para onde estão se dirigindo Tex, Carson e o amigo deles, Jesse, nos rastros do camancheiro Juan Raza, que raptou duas crianças mexicanas. Nessa cidade, El Morisco encontra o Professor Guillermo, que foi quem reencontrou a múmia, e, após muitas peripécias, os dois grupos finalmente se encontram para enfrentar o terrível ataque da múmia recém-desperta. Leia mais	17.6	13.5	0.5
CAPA DURA	2024-04-09T09:07:28.291682	109.9	MUSEU (graphic novel volume único)	PIPOCA E NANQUIM	2023-06-12	196	22 x 6 x 29 cm	6554480129	978-6554480123	4.8	Um dos maiores quadrinistas franceses da atualidade, Christophe Chabouté (Moby Dick, Solitário, Um pedaço de madeira e aço), está de volta ao Brasil com seu mais recente trabalho, Museu, um álbum poético que nos convida a refletir sobre a nossa relação com a arte, nossas certezas e a forma como percebemos o mundo.Em meio a esculturas e pinturas de grandes mestres, os visitantes do Museu d'Orsay, em Paris,lançam olhares de admiração e espanto sobre as obras-primas que se alinham nos corredores. Eles trocam sussurros discretos, registram momentos com seus celulares e tentam decifrar as intenções originais dos artistas que criaram trabalhos tão belos. Mas, quando as portas do Museu d'Orsay se fecham e a noite cai, as esculturas e pinturas abandonam suas poses, descem de seus pedestais, e ganham vida, para relaxar, contar histórias, se questionarem e comentarem tudo o que viram e ouviram de seus admiradores durante o dia.A Olympia de Manet, cansada de passar a vida deitada, se levanta; os Raspadores de Assoalho, de Gustave Caillebotte, exaustos, deixam as plainas de lado; e Héracles, como de costume, vai tentar desvendar o mistério do banheiro.Que emoções e sentimentos essas obras de arte podem aprender com os seres humanos e quais podem nos ensinar? Com sua costumeira sensibilidade e um olhar diferenciado sobre o mundo que vivemos, Chabouté entrega muito mais do que uma obra sobre arte ou sobre o cotidiano de um museu. Trata-se de um trabalho de descobertas e reflexões; da finitude da vida e da longevidade da carreira de um artista; do papel fundamental da preservação da memória nos conturbados tempos modernos e da compreensão da mesma. Em Museu, nos tornamos testemunhas, espectadores e aprendizes da arte maravilhosa que é viver, sob a tutela dos mais improváveis professores.Com 196 páginas impressas em preto e branco em papel offset de alta gramatura, capa dura com verniz localizado e formato grande e luxuoso, essa graphic novel não pode faltar na coleção dos fãs desse artista incomparável! Leia mais	29.0	22.0	6.0
CAPA DURA	2024-04-15T17:28:33.071455	89.9	Mágico Vento Deluxe volume 10: A mão esquerda do diabo	MYTHOS	2022-04-6	204	19.8 x 1.15 x 26.7 cm	6559512630	978-6559512638	12.0	A mão esquerda do diaboNa cidade de Eureka, as pessoas vivem de carvão e morrem de chumbo... chumbo que o xerife Coleman e seu punhado de guarda-costas espalham sem economia. Além disso, a turbulenta cidadezinha oferece outros atrativos: violências raciais contra imigrantes italianos, crimes sem punição e o fantasma de uma jovem que pede vingança.Mas outro fragmento de memória faz Mágico Vento perceber a tempo que seu nome está no topo da lista das contas que o xerife Coleman pretende liquidar. E mais outra história completa: O MANICÔMIO. Leia mais	26.7	19.8	1.15
CAPA DURA	2024-04-15T17:28:37.247543	129.9	Réquiem - volume 3: O Clube do Fogo Infernal	MYTHOS	2022-03-30	116	24 x 1.4 x 32 cm	6559512711	978-6559512713	63.0	O retorno infernal de RéquiemO soldado nazista Heinrich, renascido como vampiro Réquiem no outro mundo de Ressurreição, encontra sua amada Rebecca e, juntos, fogem do domínio de Drácula auxiliados por Sabre. Porém, em uma realidade que premia a devassidão e pune qualquer bondade, o amor deles pode se perder diante das nefastas intrigas dos pretensiosos conquistadores do mundo. Leia mais	32.0	24.0	1.4
CAPA DURA	2024-04-15T17:28:40.953345	89.9	As Grandes Aventuras de Tex - Segunda Temporada - Vol. 1: As colinas dos Sioux	MYTHOS	2022-03-30	340	15.7 x 2.6 x 21 cm	6559512835	978-6559512836	16.0	As colinas dos SiouxAs Colinas do Vento são um território sagrado para os índios sioux. Porém, por serem muito ricas em ouro o governo americano quer comprá-las dos índios e abrir aquelas terras ao garimpo dos brancos.Nuvem Branca, chefe dos sioux, se opõe totalmente a esse plano e, para evitar um confronto sangrento, Tex propõe conceder ao governo apenas a concessão para explorar as jazidas. A proposta é aceita por Washington, mas não é bem vista pelo Coronel Drake, que comanda o Forte Walsh com mão de ferro e quer exterminar os índios. Leia mais	21.0	15.7	2.6
CAPA COMUM	2024-04-15T17:28:44.290625	19.9	Tex Willer Nº 38: O preço da liberdade	MYTHOS	2022-03-30	68	15 x 0.4 x 21 cm	6559512800	978-6559512805	12.0	O preço da liberdadeEm um árido posto avançado do oeste do Texas, um grupo de rangers liderados por Kit Carson está no rastro de um assassino implacável e de sua quadrilha de comancheiros. Muito mais ao sul, trancados em uma terrível fortaleza carcerária no deserto de Chihuahua, Tex e o amigo Hutch conhecem um velho prisioneiro que explica a eles as regras atrozes impostas por Santacruz, o diretor do Infierno. Leia mais	21.0	15.0	0.4
CAPA COMUM	2024-04-15T17:28:47.375267	17.9	Tex Nº 629: Assalto em Nogales	MYTHOS	2022-03-30	116	13.5 x 0.5 x 17.6 cm	6559512819	978-6559512812	16.0	Assalto em NogalesEm Nogales, Kit Willer socorre a sua antiga paixão, Manuela Montoya, das garras de um trio de mal-encarados. Ao ficar órfã de pai e mãe, Manuela é submetida às indesejáveis atenções de Dom Domingo Torres, do rancho Luna Doble, que dá abrigo a um bando de ladrões que está sendo perseguido por Tex e Carson.Na cidade de Nogales, os dois rangers fingem se juntar ao bando para assaltar o banco local e assim desbaratar a quadrilha e seu apoiador, Domingo Torres. Leia mais	17.6	13.5	0.5
CAPA COMUM	2024-04-15T17:28:54.736135	33.9	Júlia Especial vol. 02: Poeira de estrelas	MYTHOS	2022-03-21	116	16 x 0.7 x 21 cm	655951286X	978-6559512867	13.0	Poeira das estrelasA morte do cantor da banda Nirvana, Kurt Cobain, abala os amigos da adolescente Júlia Kendall. Estamos em 1994, e Júlia ainda está na universidade fazendo seu curso de Sociologia. Porém, já são evidentes os dons da jovem para investigar a alma humana e revelar seus mais escondidos segredos.Quando um rapaz de 16 anos aparece enforcado no porão de sua casa, todos acreditam que foi suicídio por causa da morte do ídolo, mas Júlia pensa diferente. Acompanhe, com a pequena Júlia, mais esse drama de Garden City. E mais: matéria com James Cagney, o pequeno gigante do cinema, que criou os filmes de gângsteres. Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:28:58.007130	31.9	Zagor Classic - volume 12: A feiticeira do pântano	MYTHOS	2022-03-21	100	16 x 0.7 x 21 cm	6559512851	978-6559512850	2.0	A feiticeira do pântanoQuando a feiticeira Yaska faz ecoar pelo pântano sua risada diabólica, o medo se insinua entre as tendas dos índios corvos. Ajudada pelo leal Orik, Yaska quer que o chefe da tribo, Falcão Negro, seja substituído por Faca Comprida. Mas o que há por trás disso? Qual é o surpreendente segredo guardado pela tenebrosa feiticeira? Leia mais	21.0	16.0	0.7
CAPA COMUM	2024-04-15T17:29:01.627403	18.9	Tex Almanaque Nº 055: A Quadrilha Maverick / A Volta do Bandoleiro	MYTHOS	2022-03-18	116	13.5 x 0.5 x 17.6 cm	6559512886	978-6559512881	17.0	A Quadrilha MaverickAdam Walker, o caçador de recompensas, é um dos pistoleiros mais rápidos e mortais do Oeste. Quando alguém o contrata para matar Tex Willer ele aceita por amor ao desafio. Mas o destino o coloca contra os assassinos da Quadrilha Maverick. O que ele encontrará ao fim dessa trilha?A Volta do BandoleiroNo coração do governador de Chihuahua há uma velha ferida aberta. A recordação do massacre no rancho de sua família muitos anos antes, quando generais golpistas trucidaram seus pais e sua jovem esposa. Agora Montales acha que chegou a hora da vingança Leia mais	17.6	13.5	0.5
CAPA DURA	2024-04-15T17:29:05.071646	129.9	A morte viva	MYTHOS	2022-03-18	92	24 x 0.9 x 32 cm	6559512894	978-6559512898	38.0	A ciência pode derrotar a morte? E se sim, a que preço?Joachim, um jovem cientista que realiza pesquisas proibidas, é sequestrado por uma poderosa e misteriosa mulher reclusa na velha Terra: Martha. Para se recuperar do drama que a assombra há meses, ela ordena que ele faça o impossível: ressuscitar sua filha, Lise, que morreu durante escavações arqueológicas. Joachim, que vê aí uma oportunidade de continuar seu trabalho em total liberdade, aceita esse papel de pai criador. Depois de recuperar o equipamento necessário graças à fortuna de Martha, ele embarca nessa experiência que pode ser irreversível. Porque não se devolve a vida à Morte impunemente... Leia mais	32.0	24.0	0.9
CAPA COMUM	2024-04-15T17:29:08.340731	30.9	Dylan Dog Nova Série - volume 22: Remington house	MYTHOS	2022-03-11	100	16 x 0.6 x 21 cm	6559512916	978-6559512911	11.0	Remington houseTara trabalha como guia turística do macabro numa velha casa vitoriana nos arredores de Londres, a Remington House, onde ocorreu um terrível fato de sangue. Para não perder o emprego, e ter mais assunto para entreter os visitantes, a garota consulta Dylan na esperança de obter mais detalhes sobre o massacre, já que o Investigador do Pesadelo, que na época era da polícia, esteve na cena do crime no dia em que aconteceu. Leia mais	21.0	16.0	0.6
CAPA COMUM	2024-04-15T17:29:50.802508	30.62	Dragonero - Volume 13: Nascido das chamas	MYTHOS	2022-02-11	100	16 x 0.6 x 21 cm	6559512649	978-6559512645	15.0	Os dragões não vivem mais no Erondar há séculos, desde que, depois das guerras epocais da Grande Aliança, migraram para as terras remotas do Continente Oculto. Mas não se pode afirmar que eles não podem voltar. Um misterioso piloto, vindo das Terras da Margem do Mundo, cai com seu planador perto de uma fazenda, trazendo consigo um objeto maravilhoso: uma grande e belíssima joia com veios brilhantes. Uma joia que esconde em seu interior um dos lendários e terríveis dragões sencientes. Ele será caçado não só por Ian e Gmor, mas também por um bando de bestiários, os famigerados Caçadores de Monstros, dispostos a fazer de tudo para levar para casa um troféu desse tipo! Leia mais	21.0	16.0	0.6
CAPA COMUM	2024-04-15T17:29:54.611445	54.9	Color Zagor Vol. 02: O retorno de Guthrum	MYTHOS	2022-02-11	132	16 x 0.6 x 21 cm	6559512622	978-6559512621	8.0	O retorno de GuthrumO Rei Guthrum, líder de uma colônia de vikings que se estabeleceu na América do Norte há séculos, pede a ajuda do Espírito da Machadinha para resolver o mistério de uma expedição científica que desapareceu na península do Labrador enquanto explorava antigos assentamentos escandinavos. Guthrum pensou em envolver Zagor em razão da presença de índios hostis, mas não só por isso... as profecias de um sacerdote dizem que uma terrível ameaça está prestes a se materializar! Os nossos heróis, acompanhados pelo professor Trevor e uma dúzia de guerreiros selecionados, partem a bordo de um drácar, mas no caminho não encontrarão só uma feroz tribo pele-vermelha, mas verão o despertar dos mitológicos draugars, criaturas sanguinárias que têm suas origens nas lendas vikings! Leia mais	21.0	16.0	0.6
